z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,0.046247765449858563,0.0,373.69999999999999,0.8649066524805715,0.022278777788377242,4.5421105964192678e-11,9.8555434843890773e-12,0.14778883283728383,8.744545402044905e-10,0.047456030324996464,7.2728298990837048e-06,1.9822232990066409e-05,2.3531648404577181e-15,2.3494286800814604e-15,4.0283468908224157e-15,2.3631899814924693e-15,2.3472331182193021e-08,0.092372588388464766,0.011478168267644981,0.0048527971042810775,1.5937190012604345e-12,0.00024687146532163297,3.3734089361987558e-14,1.4989986358527245e-08,3.9429809451032716e-05,2.2053587146465255e-15,8.665963418101693e-05,2.4726475590257744e-14,0.00033521839659530019,8.0906416421728194e-11,0.00017756638848147647,1.9076637594993412e-13,3.8440279739796978e-05,1.8566408665260772e-08,2.1972889493346022e-15,3.4435250728417762e-15,1.216996087124862e-11,1.4034941104277433e-07,2.2470479377107813e-15,5.1517865074548927e-09,6.2700564452873875e-08,2.9097866501968073e-09,2.891987017537861e-13,2.2523493162718881e-15,1.2455642282611501e-07,1.2109586907463882e-12,2.292358457439854e-15,1.0439356510518161e-09,1.4106636638597185e-11,1.4499769174993791e-08,5.5258520702818108e-14,0.6728185064012201,1.715937939611629e-15,2.1443254785571722e-11,1.7706011514702067e-06,1.2755596918905374e-11,8.3793497913146883e-07
0.000125,0.055439088637496532,0.0,447.06563424000001,0.7215125822406763,0.023313850128056431,4.6736875942164906e-11,1.0932637538099539e-11,0.14212748575712958,9.7207731313376654e-10,0.054454119108435339,8.5097840257760687e-06,2.3216302646299158e-05,0.0,0.0,1.9699432466479131e-15,4.2784586396851926e-17,2.7137282502275738e-08,0.088311607880286205,0.013438227046573671,0.0059125287532481958,1.9324901517898315e-12,0.00030019997666978608,3.8372141702906082e-14,1.8262559364475052e-08,4.8120705053534083e-05,2.1841187949050487e-20,0.0001046848276664206,2.7245612478681604e-14,0.00040692229326521093,9.9605285493581765e-11,0.00021894664623487497,2.1463448094749868e-13,4.8103091272175795e-05,2.3233474772967965e-08,0.0,1.2099864531994676e-15,1.3459702711252473e-11,1.6183235860158042e-07,2.9092995511824141e-19,6.0382896278512867e-09,7.5192153338672639e-08,3.5527817985254992e-09,3.3599094810626385e-13,0.0,1.5174393948783796e-07,1.4750854563514103e-12,0.0,1.2736166897408347e-09,1.7207701126058101e-11,1.7689961486269362e-08,6.4855550392584689e-14,0.671279637136171,0.0,2.785868661947924e-11,2.302915966645532e-06,1.5974056906959051e-11,1.0504829370203823e-06
0.00025000000000000001,0.064523530114101876,0.0,519.34357921000003,0.619928883760766,0.024282863837411971,2.6346495461420036e-10,2.9870935923021629e-11,0.13630863260098716,1.8166579030484976e-09,0.061401847746840765,1.0857687698074472e-05,2.6192585830489458e-05,8.9095032392283498e-20,2.9641552961788629e-20,8.3738194760122531e-15,2.1026708577028678e-16,6.9876639965524173e-08,0.084182614797224539,0.015479136456512738,0.0070494162049360544,5.0174539933560672e-12,0.00035659754102368169,9.9402267146851266e-14,3.0447266350496642e-08,5.7347366675378467e-05,9.744781538428056e-19,0.00012389666637019974,1.3901460503228203e-13,0.00048341078743036433,2.4325268056406589e-10,0.00026385493794155174,6.1694058706928935e-13,5.8658276573208793e-05,2.8330916345812275e-08,1.7292249843776338e-16,4.2017947946251656e-15,1.5209424943847186e-11,1.8337306288340642e-07,4.9668337560893072e-18,8.7275611806201008e-09,8.6387559683434814e-08,4.2445318442354492e-09,4.0345813699187186e-13,2.1852311172387446e-19,1.8051850236151803e-07,1.7078908445558282e-12,2.1621540512791271e-19,1.520521187713095e-09,2.0543886998438974e-11,2.1119326618865459e-08,8.2834390446986049e-14,0.66990986038318123,0.0,9.4045037288881648e-11,2.9118518345408187e-06,8.5175622128440447e-11,1.2831493390984807e-06
0.00037500000000000001,0.073512364759955429,0.0,590.64287208999997,0.5441261498040851,0.025202140585954852,1.4562410564776167e-09,1.0000624293214965e-10,0.13029431186915319,4.0732476273881104e-09,0.068362610615623404,1.4158503732290122e-05,2.8829779591661115e-05,0.0,0.0,4.461702954355761e-14,1.2954361244305873e-15,1.8973722677526996e-07,0.079956840434701026,0.017611753631189452,0.0082702692995629892,1.6245506273745216e-11,0.00041629759151116106,3.4835250666677398e-13,5.5655431503512918e-08,6.7123534634721085e-05,1.6890930225954533e-17,0.00014440663927729289,7.510267249993569e-13,0.00056512860026761017,7.8562512678720602e-10,0.000312585291729376,2.0315849044545075e-12,7.0178739750575674e-05,3.3892875433231625e-08,0.0,1.2160932657063306e-14,1.8231967955189432e-11,2.0514689420931639e-07,6.0574073264331396e-17,1.3552507297891362e-08,9.59663998755811e-08,4.9892501294424735e-09,5.2072280850310431e-13,0.0,2.1103384844167979e-07,1.8231894009210459e-12,0.0,1.7861478727603581e-09,2.4131258130151788e-11,2.4808641353233123e-08,1.1185494094036908e-13,0.66867737875072242,0.0,3.0889782440476483e-10,3.6047757374873766e-06,4.4985013229171486e-10,1.5375495162851017e-06
0.00043750000000000001,0.077994824958907194,0.0,626.12268975999996,0.5128545390203795,0.02564663682624654,3.5044568467751333e-09,2.1118001646873763e-10,0.12720387177355436,6.4569146019141195e-09,0.071861738001061978,1.6151800099427397e-05,3.0010115398181722e-05,2.7987315230633946e-19,1.1301840339476912e-19,1.156042590454576e-13,3.4766713834590607e-15,3.1930732517509103e-07,0.077800659819865073,0.018715592134084615,0.0089147187609316808,3.1673630932635427e-11,0.00044741806490806134,7.3193710349212527e-13,7.5949658987939094e-08,7.2192033305388493e-05,6.868944011025373e-17,0.00015518817616448665,1.7934994571213959e-12,0.00060810679263183047,1.5472282147514292e-09,0.00033850249679822888,3.9047716377934224e-12,7.6335032163700611e-05,3.6863341555734952e-08,2.3497809223620084e-16,2.3737721388221409e-14,2.0750227727020021e-11,2.1616026347043699e-07,2.0160865638331802e-16,1.708082614103182e-08,9.9806654596545761e-08,5.383078868366847e-09,6.3057172746232654e-13,1.0584421575053452e-18,2.2699818251715184e-07,1.806883247375264e-12,7.2510404487414427e-19,1.9265633361489519e-09,2.6030114450431516e-11,2.6758625181429522e-08,1.4571407682887775e-13,0.66810617873404476,0.0,5.3637750410863908e-10,3.9861603742231369e-06,1.0732803874786577e-09,1.6736267993387887e-06
0.00050000000000000001,0.082472017500465483,0.0,661.51347606646698,0.48501299243413454,0.026082292833571632,8.0380749002817919e-09,4.4971567103046254e-10,0.1240537361851123,1.0170497691463743e-08,0.075378456542288322,1.8361353799046313e-05,3.1088529422845642e-05,1.2509398444966362e-18,4.9911134039595641e-19,2.9594981650451323e-13,9.0258164657564153e-15,5.2388012741235278e-07,0.075612833460297679,0.019845842060514481,0.0095831210068831468,6.1969892151649163e-11,0.0004793856124798067,1.5754277775671508e-12,1.0058752509143071e-07,7.7358604174739142e-05,2.4622312523740233e-16,0.00016634039831757053,4.1568862867296981e-12,0.00065257526343601266,3.0054566053000732e-09,0.00036551578527386586,7.519059680988695e-12,8.2774966660919907e-05,3.9968735512045165e-08,6.0585860866352024e-16,4.3316056856272915e-14,2.4178870039940524e-11,2.2727259422940747e-07,6.1433245468144724e-16,2.1503454801731633e-08,1.0284794202104391e-07,5.7920299181018033e-09,7.8896765700787998e-13,4.5108705346145603e-18,2.434596917219504e-07,1.737333468332023e-12,3.3837845331166473e-18,2.0723442279288075e-09,2.800034235629212e-11,2.8782778069520734e-08,1.92096779640136e-13,0.66756278740570196,5.8401453679919428e-16,8.61071448166937e-10,4.3927406164475572e-06,2.4134396154607019e-09,1.816015500932665e-06
0.00056250000000000007,0.086946269499752246,0.0,696.83547357999998,0.46005424073977985,0.026509958649130479,1.7752400792619843e-08,9.7695956143117777e-10,0.12084188213043444,1.6027516167305105e-08,0.07891577916802002,2.0759107394238578e-05,3.2051061619905036e-05,0.0,0.0,7.5838937986227205e-13,2.3006640167182292e-14,8.4634369966273813e-07,0.07339191946596807,0.021003144788280612,0.010276072927563003,1.223701171999493e-10,0.00051214407766629112,3.4636559447812831e-12,1.2901542844106015e-07,8.2581686826613542e-05,8.1177924366894926e-16,0.00017787297973756897,9.4170395792767929e-12,0.00069856870365444894,5.7805475834850863e-09,0.00039365512620468703,1.4725023776260534e-11,8.9513062491417919e-05,4.321488694771046e-08,0.0,7.6014999130936141e-14,2.883173981270515e-11,2.3849204703242477e-07,1.7446831896744065e-15,2.6982012461555211e-08,1.0490712929476606e-07,6.2164892639817591e-09,1.017201402623253e-12,0.0,2.6043030623499098e-07,1.6318712644111694e-12,0.0,2.2236555144584835e-09,3.0041801114853297e-11,3.0882959933802403e-08,2.5450859101828741e-13,0.66704557061922931,0.0,1.2651095201255742e-09,4.8255951229305901e-06,5.1870871387143746e-09,1.9649398074105079e-06
0.00062500000000000001,0.091422354112855153,0.0,732.12843269999996,0.437529752849476,0.026930364087468604,3.7465425717497646e-08,2.1238109457222737e-09,0.11756666698594995,2.5260548803701089e-08,0.082476137121709855,2.3295814541456568e-05,3.2878068444709521e-05,5.9748263471226548e-19,1.2609302393885189e-18,1.9276353678409972e-12,5.759503224424594e-14,1.3507550812641132e-06,0.071136742490002083,0.022188049658013135,0.010994137545242009,2.4231072159142402e-10,0.00054558850931774136,7.648493331304833e-12,1.6028389363162854e-07,8.7800867467852087e-05,2.5355839641017511e-15,0.00018979561601642641,2.0781782621119317e-11,0.00074611809854136055,1.0913270049116673e-08,0.00042294900587837525,2.9433855404228823e-11,9.656895387090292e-05,4.6609842637989386e-08,1.5709308094579543e-16,1.3792783811631495e-13,3.5120569951878164e-11,2.4982523746276532e-07,4.6117798398262015e-15,3.3687063379044259e-08,1.0578977258763025e-07,6.6568361718984126e-09,1.3533973436945694e-12,8.9182898689017284e-18,2.7792115467724519e-07,1.5248812578292251e-12,1.6900012240367892e-18,2.3807006569129714e-09,3.2163634655586608e-11,3.3060935493641441e-08,3.5947279775867712e-13,0.66655314535951748,0.0,1.6782109737124337e-09,5.2858417140051142e-06,1.0554190534429642e-08,2.1206375017296808e-06
0.00068749999999999996,0.095901067364101727,0.0,767.40014277661976,0.4170965047558891,0.027344145571747042,7.4907602724023643e-08,4.5128991412561464e-09,0.11422681553148833,3.9647353266378972e-08,0.086061459887246811,2.5894761174304694e-05,3.3542992860161489e-05,5.6002325608973318e-20,5.2867861840959334e-18,4.7882193839341864e-12,1.4076645981430661e-13,2.1295343721096724e-06,0.068846370223530073,0.023401018790163083,0.011737847257923787,4.7562398060757161e-10,0.00057954002830986576,1.6630168443888745e-11,1.9311901291101457e-07,9.2934522452680675e-05,7.4421712704296181e-15,0.00020211863973387473,4.4416482942905583e-11,0.00079525016341232626,2.0047434857270522e-08,0.00045342340452537652,5.9683840933605025e-11,0.00010397035818346673,5.0165829513384872e-08,1.0775858642277341e-16,2.440208989766223e-13,4.3547187149940941e-11,2.6127750960189149e-07,1.1285966042637598e-14,4.1777784009569357e-08,1.0531315813342478e-07,7.1134272348825094e-09,1.8329080746732013e-12,1.8879198674613288e-17,2.9594277290628162e-07,1.4313684740436244e-12,4.7252362372640729e-19,2.5437351450765001e-09,3.4364849147647874e-11,3.5318356516783841e-08,5.1723812695252647e-13,0.66608432588332622,0.0,1.9968663642939197e-09,5.7746488327755923e-06,2.0079093547754942e-08,2.2833546420810996e-06
0.00075000000000000002,0.10038432033199494,0.0,802.66727505550659,0.3984686041373715,0.027751867051702052,1.411109021566848e-07,9.1992026395199238e-09,0.11082141473020607,6.1576456802376994e-08,0.089673232865004185,2.8452314423670556e-05,3.4011097570440344e-05,6.8848532441835292e-19,2.4562031361179178e-17,1.1466018900490989e-11,3.3331505242593e-13,3.3099328458535317e-06,0.066520104359374499,0.024642427336650247,0.012507707534873432,9.1409183029814617e-10,0.00061371447661017408,3.5024436387096746e-11,2.2610900446318566e-07,9.7879292554491689e-05,2.0601248024794815e-14,0.0002148539670011058,9.1534613941673848e-11,0.00084598626749439075,3.5626586806460511e-08,0.00048509936081611924,1.2116997387583614e-10,0.00011175629503484945,5.3902356279145091e-08,2.2782104697835821e-16,4.2326186210622949e-13,5.4724029422527649e-11,2.7285323621707458e-07,2.5517914701740389e-14,5.1373606305068459e-08,1.0333862247695065e-07,7.5866183410084991e-09,2.5042257576567215e-12,4.917427487992922e-17,3.1450541454180708e-07,1.3532002395388825e-12,3.202406404606599e-18,2.7131357950143338e-09,3.6651935631285519e-11,3.7656790671292983e-08,7.5902087326944863e-13,0.66563808029430027,0.0,2.1568419238525553e-09,6.2932444385276268e-06,3.5273881142006153e-08,2.4533263609307933e-06
0.00081250000000000007,0.10487303856473951,0.0,837.9385752718506,0.38141356965752105,0.02815402922412006,2.5009985516068617e-07,1.7783712119060294e-08,0.10734996089785119,9.4024233770300239e-08,0.093312474957020913,3.0849990283719205e-05,3.4238627957319803e-05,0.0,9.9719058631412962e-17,2.6212718292344755e-11,7.5936617941943481e-13,5.0578281376516809e-06,0.064157523693024271,0.025912540458694941,0.013304189003429556,1.7031799388933325e-09,0.00064768917324704064,7.0699399966364343e-11,2.5786847473396542e-07,0.0001025118023761545,5.3732154849479286e-14,0.00022801626986972899,1.8163059641998556e-10,0.0008983398054168304,6.1103980565252716e-08,0.00051798724293757763,2.4267744321375338e-10,0.00011997894284890436,5.7850419126150969e-08,0.0,7.1493258447005422e-13,6.9364661105517359e-11,2.8455589490709805e-07,5.3371364864510771e-14,6.2522688587137752e-08,9.980735004960765e-08,8.0767557507038621e-09,3.4194582225354055e-12,1.0236904238623163e-16,3.3361909032827109e-07,1.2801238112396223e-12,0.0,2.8894624420238527e-09,3.9032957985915177e-11,4.0077696148820763e-08,1.1237986395644689e-12,0.66521350710425309,0.0,2.1845109921833379e-09,6.8428935758536502e-06,5.6539030239776383e-08,2.6307415978716749e-06
0.00087500000000000002,0.10936777471842311,0.0,873.21979295993799,0.36573844629180424,0.02855107401707312,4.1797181734675427e-07,3.2454710118700109e-08,0.10381239584213438,1.4049367744046347e-07,0.09697971135609075,3.2978604214451958e-05,3.4173006814288262e-05,1.7236411724561556e-18,3.7621184025921853e-16,5.6926948260663727e-11,1.65704691583004e-12,7.5776556695301108e-06,0.061758538998150141,0.027211487255060687,0.014127720244425974,3.0600856851716123e-09,0.00068087666938772707,1.3612328737215317e-10,2.8717125301247197e-07,0.00010669300757479317,1.3212016264114591e-13,0.00024162465721570817,3.476243286606765e-10,0.00095231250600564632,1.0117709718483136e-07,0.00055207610986955505,4.7386110664656279e-10,0.00012870173612886381,6.2057701792537441e-08,1.0200991229438391e-15,1.1779016484895642e-12,8.8294120798562955e-11,2.9638816654915093e-07,1.0371775945216849e-13,7.5177022806340729e-08,9.4768845124025052e-08,8.5841816403279758e-09,4.640483663953436e-12,2.5996631287965216e-16,3.5329373522965578e-07,1.2064710501606495e-12,1.9985584609173806e-17,3.0735488928337312e-09,4.1527298718525213e-11,4.2582427981310504e-08,1.6753741958889075e-12,0.66480981437829512,0.0,2.1547554866667687e-09,7.4248059515424455e-06,8.1864042804860875e-08,2.8157219168874554e-06
0.00093749999999999997,0.11386839748445625,0.0,908.51121980000005,0.351282716571179,0.028943382134306708,6.6199281479959979e-07,5.5955878201447751e-08,0.10020915231147358,2.0509154698479472e-07,0.10067492163871954,3.4767448619207464e-05,3.3754683907220111e-05,7.9881490191169242e-19,1.2591048981672158e-15,1.1740861245364336e-10,3.4595253105474095e-12,1.1109072453125264e-05,0.05932347111042232,0.028539224309761732,0.014978676505701543,5.2988058410879984e-09,0.00071251459710203419,2.4992413126139066e-10,3.1317585866417199e-07,0.00011027504521433092,3.0692376258855707e-13,0.0002557048610586199,6.4448186517211113e-10,0.001007888830485848,1.6206938874327355e-07,0.00058731541091444335,8.9622960877509227e-10,0.0001379913492067801,6.6594210854010978e-08,1.7822094441276073e-15,1.8799451994780663e-12,1.1246193189104364e-10,3.0835190902383675e-07,1.8855934908845084e-13,8.9184105136022066e-08,8.8390679919144277e-08,9.1092096755918669e-09,6.224322268433104e-12,5.5211190725135653e-16,3.7353934339434497e-07,1.1280231605952515e-12,4.7041535799066082e-17,3.2665717607734265e-09,4.415158747323723e-11,4.5172215464709362e-08,2.4731411467314051e-12,0.66442630442881911,0.0,2.1248690689757305e-09,8.039889310727754e-06,1.0659471042666729e-07,3.0083800833972874e-06
0.001,0.11837487628108824,0.0,943.81397428000002,0.33790954006896456,0.029331265396153852,1.0007279015828992e-06,9.1558657774057835e-08,0.096541218967831383,2.9293753582830408e-07,0.10439746570421407,3.6204968070382918e-05,3.2921215051086461e-05,0.0,3.842580549500648e-15,2.3085113431551453e-10,6.9267742144066788e-12,1.5923041249920288e-05,0.056853148317088147,0.029895485697382464,0.015857363702828295,8.8693624337308186e-09,0.00074167763634393159,4.3891324688952311e-10,3.3565977533301297e-07,0.00011310977968672597,6.7704819155224018e-13,0.00027029202197168862,1.1642674965875166e-09,0.0010650278105483826,2.5184116015808725e-07,0.00062358690180632902,1.6394834708450704e-09,0.00014790474845401027,7.1557789840103861e-08,3.1833811563612843e-15,2.9160082907196515e-12,1.4303236090958061e-10,3.204480484324964e-07,3.2348119850238494e-13,1.0430043504964713e-07,8.0943744283154059e-08,9.6521257859222261e-09,8.2490072105252846e-12,1.1307463546559233e-15,3.9436616908411125e-07,1.0485238174615017e-12,1.1737788364432381e-16,3.4701448407852027e-09,4.6941155963152461e-11,4.7848180383801663e-08,3.6088139595586686e-12,0.66406236134086427,0.0,2.1216392984454761e-09,8.6882291409311716e-06,1.2550573006508023e-07,3.209025666982384e-06
0.0010625000000000001,0.12288496487526436,0.0,979.1115467475347,0.32550768143526804,0.029714958873272881,1.4560771215834484e-06,1.4316137925378623e-07,0.092810221801281415,4.1095525225029146e-07,0.10814600670028639,3.7338189398545357e-05,3.16141149660262e-05,3.2133369468042e-18,1.0855359589721145e-14,4.35710054505764e-10,1.3367916853107106e-11,2.2320562961050325e-05,0.05434900759272638,0.03127972063146793,0.016764001875151965,1.4410716084408105e-08,0.00076731067132982549,7.411147277442453e-10,3.5515526404141773e-07,0.00011505761333278855,1.4275264026190408e-12,0.00028543433366648121,2.062447471042945e-09,0.0011236519517579778,3.80583778720949e-07,0.00066066661854042523,2.907437482807092e-09,0.00015847802160338711,7.7079004716024121e-08,6.7130466975191542e-15,4.4102607399717537e-12,1.8149675202618725e-10,3.3267640017739226e-07,5.2875214651987877e-13,1.202234202994956e-07,7.276664179992754e-08,1.0213152330242725e-08,1.0821453490891477e-11,2.2818222310727089e-15,4.1578504124095907e-07,9.73569386542875e-13,3.2794759714802601e-16,3.6863739478991229e-09,4.994626289273496e-11,5.0611320454776005e-08,5.1985885996537312e-12,0.66371743579811804,0.0,2.1580111165397208e-09,9.368150131835897e-06,1.3605825178792037e-07,3.41848397598571e-06
0.0011250000000000001,0.12739449693400265,0.0,1014.3722118759517,0.31398530519520823,0.030094615059294151,2.0572832714840278e-06,2.1560370305118976e-07,0.089018537852119217,5.688734997731636e-07,0.11191841885485709,3.8248052873177133e-05,2.97891304029634e-05,3.8264597390509346e-18,2.8846450351660232e-14,7.9596588788007825e-10,2.5025646004216182e-11,3.0635715498567018e-05,0.051813204228946981,0.032691013065166703,0.01769870725276176,2.2808306934927925e-08,0.00078827607607914589,1.210504840065905e-09,3.7275865871155184e-07,0.00011599502720365292,2.8966535964672492e-12,0.0003011978855939652,3.6028669778830581e-09,0.001183632293630068,5.6013989130624276e-07,0.00069817921245661041,5.0205379150260542e-09,0.00016972398742817985,8.3325271246153562e-08,1.2213268458228259e-14,6.5213818316838359e-12,2.2980640778519766e-10,3.4503548297562027e-07,8.3166015247496902e-13,1.3663125932371097e-07,6.4221030158226793e-08,1.0792391652419177e-08,1.4088757559584343e-11,4.4117330788815371e-15,4.3780787337708609e-07,9.0727655855451386e-13,7.8445778721842254e-16,3.9178993757757801e-09,5.3226480999297172e-11,5.3462469736707561e-08,7.3790550099069922e-12,0.66339102772396608,0.0,2.2450217829713099e-09,1.0074717889441131e-05,1.3964154202091153e-07,3.6383456543443182e-06
0.0011875000000000002,0.13189614412361819,0.0,1049.5391975013185,0.3032689110612928,0.030470298373942196,2.8457383689157984e-06,3.1513841048127825e-07,0.085169462716618627,7.8012878474649497e-07,0.11571164809528586,3.9011618229051255e-05,2.7430412798454625e-05,6.493775040184539e-18,7.3285737214239539e-14,1.4180856684198447e-09,4.57019893155191e-11,4.1240817833519736e-05,0.049248751481730073,0.034127974992099915,0.018661467368629198,3.5241764905185475e-08,0.00080340814844540509,1.9233006606927962e-09,3.8971903221757598e-07,0.00011582033964386995,5.6894990824412508e-12,0.00031767315550728796,6.231127917789347e-09,0.0012447679116077241,8.028911859029174e-07,0.000735549056339543,8.4833317581459618e-09,0.00018163711925548953,9.0504247813623291e-08,2.1689364680181332e-14,9.4680761798457735e-12,2.9050621694520765e-10,3.5752233656458112e-07,1.2701369315083117e-12,1.5321897626916649e-07,5.56512512516381e-08,1.1389757269201139e-08,1.8267455821693031e-11,8.3304602614190504e-15,4.6044837520423272e-07,8.5367756221521658e-13,1.8172792649494707e-15,4.1679569804623711e-09,5.6863083460036195e-11,5.6402241230440169e-08,1.0334961827778059e-11,0.66308267099694074,0.0,2.3963145897435413e-09,1.0797613297766464e-05,1.3978329626752608e-07,3.870944588667772e-06
